#AreaId,TextIndex,SpotId,UnlockRank,QuestUnlock
1,0,460,0,0
1,1,450,0,0
1,2,451,0,0
1,3,503,5,0
1,4,614,3,0
1,5,486,4,0
1,6,579,6,0
1,7,615,7,0
1,8,616,8,0
1,9,487,4,0
1,10,488,9,0
1,11,715,12,0
1,12,569,0,0
1,13,582,0,0
1,14,555,2,0
1,15,583,0,0
1,16,580,0,0
1,17,541,0,0
1,18,581,0,0
1,19,517,0,0
1,20,689,13,0
2,0,461,0,0
2,1,452,0,0
2,2,520,0,0
2,3,617,2,0
2,4,618,3,0
2,5,585,4,0
2,6,619,5,0
2,7,620,7,0
2,8,621,8,0
2,9,547,9,0
2,10,717,12,0
2,11,522,0,0
2,12,586,0,0
2,13,690,13,0
3,0,465,0,0
3,1,482,0,0
3,2,453,0,0
3,3,574,0,0
3,4,606,3,0
3,5,622,2,0
3,6,652,4,0
3,7,489,6,0
3,8,623,0,0
3,9,624,8,0
3,10,625,0,0
3,11,553,9,0
3,12,719,12,0
3,13,516,0,0
3,14,472,0,0
3,15,554,0,0
3,16,825,0,0
3,17,691,13,0
4,0,464,0,0
4,1,455,0,0
4,2,653,3,0
4,3,456,0,0
4,4,491,2,0
4,5,476,4,0
4,6,626,7,0
4,7,551,9,0
4,8,627,10,0
4,9,721,14,0
4,10,566,0,0
4,11,550,0,0
4,12,552,0,0
4,13,545,0,0
4,14,572,0,0
4,15,693,0,0
5,0,463,0,0
5,1,454,0,0
5,2,576,0,0
5,3,629,2,0
5,4,628,3,0
5,5,548,4,0
5,6,492,7,0
5,7,630,10,0
5,8,813,14,0
5,9,588,0,0
5,10,663,0,0
5,11,589,0,0
5,12,590,0,0
5,13,591,0,0
5,14,549,0,0
5,15,570,0,0
5,16,474,0,0
5,17,565,0,0
5,18,542,0,0
5,19,826,0,0
5,20,696,0,0
5,21,698,0,0
6,0,466,0,0
6,1,571,0,0
6,2,575,0,0
6,3,506,0,0
6,4,631,2,0
6,5,632,3,0
6,6,493,4,0
6,7,613,7,0
6,8,633,8,0
6,9,634,9,0
6,10,724,12,0
6,11,592,0,0
6,12,557,0,0
6,13,558,0,0
6,14,692,13,0
7,0,470,0,0
7,1,556,0,0
7,2,635,3,0
7,3,494,4,0
7,4,637,7,0
7,5,636,8,0
7,6,495,9,0
7,7,728,12,0
7,8,546,2,0
7,9,559,0,0
7,10,561,0,0
7,11,560,0,0
7,12,475,0,0
7,13,595,0,0
7,14,523,0,0
7,15,697,13,0
8,0,462,0,0
8,1,471,0,0
8,2,507,0,0
8,3,638,2,0
8,4,598,4,0
8,5,639,3,0
8,6,640,9,0
8,7,607,7,0
8,8,496,9,0
8,9,726,12,0
8,10,562,0,0
8,11,599,0,0
8,12,478,0,0
8,13,600,0,0
8,14,564,0,0
8,15,596,0,0
8,16,694,13,0
9,0,467,0,0
9,1,457,0,0
9,2,508,6,0
9,3,641,3,0
9,4,498,5,0
9,5,642,7,0
9,6,567,8,0
9,7,643,9,0
9,8,730,12,0
9,9,563,0,0
9,10,602,0,0
9,11,497,2,0
9,12,473,0,0
9,13,703,13,0
10,0,469,0,0
10,1,573,0,0
10,2,577,0,0
10,3,644,2,0
10,4,646,4,0
10,5,645,5,0
10,6,647,8,0
10,7,648,9,0
10,8,732,12,0
10,9,604,0,0
10,10,481,0,0
10,11,499,6,0
10,12,568,0,0
10,13,700,13,0
11,0,468,0,0
11,1,458,0,0
11,2,649,2,0
11,3,650,4,0
11,4,527,7,0
11,5,651,8,0
11,6,500,9,0
11,7,734,12,0
11,8,484,0,0
11,9,669,0,0
11,10,650,0,0
11,11,605,0,0
11,12,543,0,0
11,13,544,0,0
11,14,608,6,0
11,15,701,13,0
12,0,480,0,0
12,1,459,0,0
12,2,664,0,0
12,3,609,0,0
12,4,610,3,0
12,5,501,2,0
12,6,502,4,0
12,7,611,7,0
12,8,875,12,0
12,9,612,9,0
12,10,667,0,0
12,11,668,0,0
12,12,702,13,0
13,0,683,0,0
13,1,816,0,0
13,2,685,0,0
13,3,687,0,0
13,4,735,3,0
13,5,736,7,0
13,6,814,9,0
13,7,704,0,0
13,8,705,0,0
13,9,708,0,0
13,10,706,2,0
13,11,712,0,0
13,12,707,4,0
13,13,711,6,0
13,14,709,8,0
13,15,713,11,0
13,16,710,12,0
13,17,714,13,0
13,18,823,0,0
13,19,1213,0,30180
14,0,881,0,0
14,1,876,0,0
14,2,926,0,0
14,3,928,2,0
14,4,929,3,0
14,5,925,4,0
14,6,930,5,0
14,7,931,6,0
14,8,932,8,0
14,9,933,11,0
14,10,934,12,0
14,11,935,14,0
14,12,886,13,0
14,13,887,4,0
14,14,888,7,0
14,15,889,9,0
14,16,890,11,0
14,17,891,13,0
15,0,882,0,0
15,1,880,0,0
15,2,877,0,0
15,3,759,0,0
15,4,904,11,0
15,5,885,0,0
15,6,905,0,0
15,7,918,2,0
15,8,919,3,0
15,9,920,5,0
15,10,921,6,0
15,11,922,9,0
15,12,924,12,0
15,13,923,14,0
15,14,903,0,0
15,15,893,1,0
15,16,894,4,0
15,17,895,7,0
15,18,896,0,0
15,19,897,0,0
15,20,899,0,0
15,21,902,0,0
15,22,901,12,0
15,23,900,13,0
15,24,1212,0,30180
16,0,883,0,0
16,1,878,0,0
16,2,936,0,0
16,3,938,2,0
16,4,939,3,0
16,5,940,5,0
16,6,941,6,0
16,7,942,7,0
16,8,943,12,0
16,9,937,11,0
16,10,944,14,0
16,11,907,2,0
16,12,906,4,0
16,13,908,9,0
16,14,909,11,0
16,15,910,13,0
17,0,884,0,0
17,1,879,0,0
17,2,959,12,0
17,3,945,2,0
17,4,946,3,0
17,5,947,5,0
17,6,948,6,0
17,7,949,8,0
17,8,950,11,0
17,9,953,13,0
17,10,911,4,0
17,11,913,7,0
17,12,912,9,0
17,13,914,12,0
17,14,915,13,0
17,15,916,14,0
18,0,1058,0,0
18,1,1059,0,0
18,2,1031,0,0
18,3,1091,0,0
18,4,1032,0,0
18,5,1094,0,0
18,6,1034,0,0
18,7,1035,0,0
18,8,1036,0,60318001
18,9,1037,0,60318002
18,10,1038,0,60318004
18,11,1039,0,60318003
18,12,1100,10,0
18,13,1081,3,0
18,14,1082,6,0
18,15,1065,1,0
18,16,1063,2,0
18,17,1095,0,0
18,18,1066,5,0
18,19,1067,8,60300020
18,20,1108,0,0
18,21,1068,0,0
19,0,1060,0,0
19,1,1093,0,0
19,2,1092,0,0
19,3,1040,0,0
19,4,1041,0,0
19,5,1042,0,60319001
19,6,1043,0,60319002
19,7,1044,0,60319003
19,8,1045,0,60319004
19,9,1086,3,0
19,10,1085,6,0
19,11,1096,0,0
19,12,1069,2,0
19,13,1104,0,0
19,14,1072,5,0
19,15,1071,8,0
19,16,1109,0,60300021
19,17,1101,10,0
19,18,1070,0,60300021
20,0,1061,0,0
20,1,1110,0,60300022
20,2,1168,0,0
20,3,1215,0,0
20,4,1097,0,0
20,5,1046,0,0
20,6,1047,0,0
20,7,1048,0,60320002
20,8,1049,0,60320001
20,9,1050,0,60320003
20,10,1051,0,60320004
20,11,1102,10,0
20,12,1087,3,0
20,13,1088,6,0
20,14,1210,0,0
20,15,1073,2,0
20,16,1211,0,0
20,17,1074,5,0
20,18,1099,8,0
20,19,1098,0,0
20,20,1075,0,0
20,21,1076,0,60300022
21,0,1284,0,0
21,1,1283,0,0
21,2,1282,0,0
21,3,1111,0,60300023
21,4,1216,0,0
21,5,1217,0,0
21,6,1052,0,0
21,7,1053,0,0
21,8,1054,0,60321002
21,9,1055,0,60321001
21,10,1056,0,60321003
21,11,1057,0,60321004
21,12,1089,3,0
21,13,1090,7,0
21,14,1218,0,0
21,15,1220,0,0
21,16,1077,2,0
21,17,1285,0,0
21,18,1078,5,0
21,19,1219,8,0
21,20,1103,10,0
21,21,1080,0,60300023
