#Total,CostRate1,CostRate2,CostRate3,CostRate4
0,1.000,0.950,0.850,0.845
1,0.960,0.945,0.847,0.840
2,0.950,0.940,0.844,0.837
3,0.940,0.935,0.841,0.834
4,0.932,0.930,0.838,0.831
5,0.924,0.920,0.835,0.828
6,0.916,0.910,0.832,0.825
7,0.908,0.900,0.829,0.822
8,0.900,0.890,0.826,0.819
9,0.892,0.880,0.823,0.816
10,0.884,0.870,0.820,0.813
11,0.876,0.860,0.817,0.810
12,0.868,0.850,0.814,0.807
13,0.860,0.840,0.811,0.804
14,0.850,0.830,0.808,0.801
15,0.840,0.820,0.800,0.790
16,0.830,0.810,0.790,0.780
17,0.820,0.800,0.780,0.770
18,0.810,0.790,0.770,0.760
19,0.800,0.780,0.760,0.750
20,0.790,0.770,0.750,0.740
21,0.780,0.760,0.740,0.730
22,0.770,0.750,0.730,0.720
23,0.760,0.740,0.720,0.710
24,0.750,0.730,0.710,0.700
25,0.740,0.720,0.700,0.690
26,0.730,0.710,0.690,0.680
27,0.720,0.700,0.680,0.670
28,0.710,0.690,0.670,0.660
29,0.700,0.680,0.660,0.650
30,0.695,0.670,0.650,0.640
31,0.690,0.665,0.655,0.635
32,0.685,0.660,0.650,0.630
33,0.680,0.655,0.645,0.625
34,0.675,0.650,0.640,0.620
35,0.670,0.645,0.635,0.615
36,0.665,0.640,0.630,0.610
37,0.660,0.635,0.625,0.605
38,0.655,0.630,0.620,0.600
39,0.650,0.625,0.615,0.595
40,0.645,0.620,0.610,0.590
41,0.640,0.615,0.605,0.585
42,0.635,0.610,0.600,0.580
43,0.630,0.605,0.595,0.575
44,0.625,0.600,0.590,0.570
45,0.620,0.595,0.585,0.565
46,0.615,0.590,0.580,0.560
47,0.610,0.585,0.575,0.555
48,0.605,0.580,0.570,0.550
49,0.600,0.575,0.565,0.545
50,0.595,0.570,0.560,0.540
51,0.590,0.565,0.555,0.535
52,0.585,0.560,0.550,0.530
53,0.580,0.555,0.545,0.525
54,0.575,0.550,0.540,0.520
55,0.570,0.545,0.535,0.515
56,0.565,0.540,0.530,0.510
57,0.560,0.535,0.525,0.505
58,0.555,0.530,0.520,0.500
59,0.550,0.525,0.515,0.495
60,0.545,0.520,0.510,0.490
61,0.540,0.515,0.505,0.485
62,0.535,0.510,0.500,0.480
63,0.530,0.505,0.495,0.475
64,0.525,0.500,0.490,0.470
65,0.520,0.495,0.485,0.465
66,0.515,0.490,0.480,0.460
67,0.510,0.485,0.475,0.455
68,0.505,0.480,0.470,0.450
69,0.500,0.475,0.465,0.445
70,0.495,0.470,0.460,0.440
71,0.490,0.465,0.455,0.435
72,0.485,0.460,0.450,0.430
73,0.480,0.455,0.445,0.425
74,0.475,0.450,0.440,0.420
75,0.470,0.445,0.435,0.415
76,0.465,0.440,0.430,0.410
77,0.460,0.435,0.425,0.405
78,0.455,0.430,0.420,0.400
79,0.450,0.425,0.415,0.395
80,0.445,0.420,0.410,0.390
81,0.440,0.415,0.405,0.385
82,0.435,0.410,0.400,0.380
83,0.430,0.405,0.395,0.375
84,0.425,0.400,0.390,0.370
85,0.420,0.390,0.385,0.365
86,0.410,0.380,0.375,0.355
87,0.400,0.370,0.365,0.345
88,0.390,0.360,0.355,0.335
89,0.380,0.350,0.345,0.325
90,0.370,0.340,0.335,0.315
91,0.360,0.330,0.325,0.305
92,0.350,0.320,0.315,0.295
93,0.340,0.310,0.305,0.285
94,0.330,0.300,0.295,0.275
95,0.320,0.290,0.285,0.265
96,0.310,0.280,0.275,0.255
97,0.300,0.270,0.265,0.245
98,0.290,0.260,0.255,0.235
99,0.280,0.250,0.245,0.225
100,0.279,0.249,0.244,0.224
101,0.277,0.247,0.242,0.222
102,0.276,0.246,0.241,0.221
103,0.274,0.244,0.239,0.219
104,0.273,0.243,0.238,0.218
105,0.271,0.241,0.236,0.216
106,0.270,0.240,0.235,0.215
107,0.268,0.238,0.233,0.213
108,0.267,0.237,0.232,0.212
109,0.265,0.235,0.230,0.210
110,0.264,0.234,0.229,0.209
111,0.262,0.232,0.227,0.207
112,0.261,0.231,0.226,0.206
113,0.259,0.229,0.224,0.204
114,0.258,0.228,0.223,0.203
115,0.256,0.226,0.221,0.201
116,0.255,0.225,0.220,0.200
117,0.253,0.223,0.218,0.198
118,0.252,0.222,0.217,0.197
119,0.250,0.220,0.215,0.195
120,0.245,0.219,0.210,0.192
121,0.242,0.217,0.207,0.189
122,0.239,0.214,0.204,0.186
123,0.236,0.211,0.201,0.183
124,0.233,0.208,0.198,0.180
125,0.230,0.205,0.195,0.177
126,0.227,0.202,0.192,0.174
127,0.224,0.199,0.189,0.171
128,0.221,0.196,0.186,0.168
129,0.218,0.193,0.183,0.165
130,0.215,0.190,0.180,0.162
131,0.212,0.187,0.177,0.160
132,0.209,0.184,0.174,0.158
133,0.206,0.181,0.171,0.156
134,0.203,0.178,0.168,0.154
135,0.200,0.175,0.165,0.152
136,0.197,0.172,0.162,0.150
137,0.194,0.169,0.159,0.148
138,0.191,0.166,0.156,0.146
139,0.188,0.163,0.153,0.144
140,0.185,0.160,0.150,0.142
141,0.182,0.157,0.147,0.140
142,0.179,0.154,0.144,0.138
143,0.176,0.151,0.141,0.136
144,0.173,0.148,0.138,0.134
145,0.170,0.145,0.135,0.132
146,0.167,0.142,0.132,0.130
147,0.164,0.139,0.129,0.128
148,0.161,0.136,0.126,0.125
149,0.158,0.133,0.123,0.122
150,0.155,0.130,0.120,0.119
151,0.152,0.127,0.117,0.116
152,0.149,0.124,0.114,0.113
153,0.146,0.121,0.111,0.110
154,0.143,0.118,0.108,0.107
155,0.140,0.115,0.105,0.104
156,0.137,0.112,0.102,0.101
157,0.134,0.109,0.099,0.098
158,0.131,0.106,0.096,0.095
159,0.128,0.103,0.093,0.092
160,0.125,0.100,0.090,0.089
161,0.122,0.097,0.087,0.086
162,0.119,0.094,0.084,0.083
163,0.116,0.091,0.081,0.080
164,0.113,0.088,0.078,0.077
165,0.110,0.085,0.075,0.074
166,0.107,0.082,0.072,0.071
167,0.104,0.079,0.069,0.068
168,0.101,0.076,0.066,0.065
169,0.098,0.073,0.063,0.062
170,0.095,0.070,0.060,0.059
171,0.092,0.067,0.057,0.056
172,0.089,0.064,0.054,0.053
173,0.086,0.061,0.051,0.050
174,0.083,0.058,0.048,0.047
175,0.080,0.055,0.045,0.044
176,0.077,0.052,0.042,0.041
177,0.074,0.050,0.039,0.038
178,0.071,0.048,0.036,0.035
179,0.068,0.046,0.033,0.032
180,0.065,0.044,0.030,0.029
181,0.062,0.042,0.027,0.026
